temperature_C,count,freq_MHz
-40.0,691,1.537443
-39.0,688,1.544568
-38.0,685,1.551719
-37.0,681,1.558896
-36.0,678,1.566098
-35.0,676,1.573327
-34.0,672,1.580582
-33.0,669,1.587862
-32.0,666,1.595168
-31.0,663,1.602500
-30.0,660,1.609857
-29.0,657,1.617240
-28.0,654,1.624649
-27.0,651,1.632083
-26.0,648,1.639542
-25.0,645,1.647027
-24.0,642,1.654537
-23.0,639,1.662072
-22.0,636,1.669633
-21.0,633,1.677218
-20.0,630,1.684828
-19.0,627,1.692463
-18.0,624,1.700122
-17.0,622,1.707807
-16.0,620,1.715516
-15.0,617,1.723249
-14.0,614,1.731006
-13.0,611,1.738788
-12.0,608,1.746594
-11.0,606,1.754423
-10.0,602,1.762277
-9.0,600,1.770154
-8.0,597,1.778054
-7.0,595,1.785979
-6.0,592,1.793926
-5.0,590,1.801896
-4.0,587,1.809890
-3.0,584,1.817906
-2.0,581,1.825945
-1.0,579,1.834006
0.0,577,1.842090
1.0,574,1.850196
2.0,571,1.858324
3.0,569,1.866474
4.0,566,1.874645
5.0,565,1.882838
6.0,561,1.891052
7.0,559,1.899287
8.0,556,1.907543
9.0,555,1.915820
10.0,552,1.924117
11.0,549,1.932435
12.0,547,1.940772
13.0,545,1.949130
14.0,542,1.957507
15.0,541,1.965904
16.0,538,1.974320
17.0,535,1.982755
18.0,533,1.991208
19.0,531,1.999680
20.0,529,2.008171
21.0,527,2.016679
22.0,524,2.025206
23.0,522,2.033750
24.0,520,2.042311
25.0,518,2.050889
26.0,515,2.059484
27.0,513,2.068096
28.0,511,2.076723
29.0,510,2.085367
30.0,507,2.094027
31.0,505,2.102702
32.0,503,2.111392
33.0,501,2.120097
34.0,499,2.128817
35.0,497,2.137551
36.0,495,2.146299
37.0,493,2.155060
38.0,491,2.163835
39.0,489,2.172623
40.0,487,2.181424
41.0,485,2.190238
42.0,482,2.199063
43.0,480,2.207900
44.0,479,2.216749
45.0,478,2.225609
46.0,476,2.234480
47.0,474,2.243361
48.0,472,2.252253
49.0,470,2.261154
50.0,468,2.270065
51.0,466,2.278985
52.0,464,2.287914
53.0,462,2.296851
54.0,460,2.305796
55.0,459,2.314749
56.0,457,2.323709
57.0,455,2.332676
58.0,453,2.341650
59.0,451,2.350630
60.0,450,2.359615
61.0,448,2.368606
62.0,446,2.377602
63.0,445,2.386603
64.0,444,2.395608
65.0,442,2.404617
66.0,440,2.413629
67.0,438,2.422644
68.0,437,2.431662
69.0,435,2.440681
70.0,433,2.449703
71.0,432,2.458726
72.0,430,2.467750
73.0,429,2.476774
74.0,427,2.485799
75.0,425,2.494823
76.0,424,2.503846
77.0,422,2.512868
78.0,421,2.521888
79.0,419,2.530906
80.0,418,2.539921
81.0,416,2.548933
82.0,414,2.557941
83.0,414,2.566946
84.0,412,2.575946
85.0,411,2.584941
86.0,410,2.593930
87.0,408,2.602914
88.0,407,2.611891
89.0,405,2.620861
90.0,404,2.629824
91.0,402,2.638778
92.0,401,2.647725
93.0,400,2.656662
94.0,398,2.665590
95.0,397,2.674508
96.0,395,2.683415
97.0,394,2.692312
98.0,393,2.701197
99.0,391,2.710069
100.0,390,2.718930
101.0,389,2.727777
102.0,387,2.736610
103.0,386,2.745430
104.0,385,2.754234
105.0,384,2.763024
106.0,382,2.771797
107.0,382,2.780554
108.0,381,2.789294
109.0,380,2.798017
110.0,378,2.806721
111.0,377,2.815407
112.0,376,2.824073
113.0,375,2.832720
114.0,374,2.841346
115.0,373,2.849952
116.0,371,2.858535
117.0,370,2.867097
118.0,369,2.875636
119.0,368,2.884151
120.0,367,2.892642
121.0,366,2.901109
122.0,365,2.909551
123.0,364,2.917967
124.0,362,2.926356
125.0,361,2.934718
