Temp ; Freq
-40 ; 2.40333E+06
-35 ; 2.5356E+06
-30 ; 2.66771E+06
-25 ; 2.80589E+06
-20 ; 2.93683E+06
-15 ; 3.09008E+06
-10 ; 3.2273E+06
-5 ; 3.3832E+06
0 ; 3.5353E+06
5 ; 3.69484E+06
10 ; 3.8448E+06
15 ; 4.00762E+06
20 ; 4.16406E+06
25 ; 4.33005E+06
30 ; 4.49875E+06
35 ; 4.67148E+06
40 ; 4.85341E+06
45 ; 5.04515E+06
50 ; 5.25567E+06
55 ; 5.45146E+06
60 ; 5.68976E+06
65 ; 5.92801E+06
70 ; 6.16615E+06
75 ; 6.43096E+06
80 ; 6.69075E+06
85 ; 6.96826E+06
90 ; 7.24932E+06
95 ; 7.54216E+06
100 ; 7.83473E+06
105 ; 8.10713E+06
110 ; 8.41687E+06
115 ; 8.67813E+06
120 ; 8.96521E+06
125 ; 9.23398E+06
