Temp ; Freq
-40 ; 1.53708E+06
-35 ; 1.57352E+06
-30 ; 1.60977E+06
-25 ; 1.64707E+06
-20 ; 1.68494E+06
-15 ; 1.72507E+06
-10 ; 1.76153E+06
-5 ; 1.80187E+06
0 ; 1.84145E+06
5 ; 1.88158E+06
10 ; 1.92423E+06
15 ; 1.96573E+06
20 ; 2.00812E+06
25 ; 2.05175E+06
30 ; 2.09355E+06
35 ; 2.1371E+06
40 ; 2.18183E+06
45 ; 2.22702E+06
50 ; 2.27114E+06
55 ; 2.31574E+06
60 ; 2.3574E+06
65 ; 2.40365E+06
70 ; 2.44948E+06
75 ; 2.49602E+06
80 ; 2.53937E+06
85 ; 2.58451E+06
90 ; 2.62923E+06
95 ; 2.67455E+06
100 ; 2.72027E+06
105 ; 2.76282E+06
110 ; 2.80621E+06
115 ; 2.85065E+06
120 ; 2.89261E+06
125 ; 2.9344E+06
