Temp ; Freq
-20 ; 1.68044E+06
-17 ; 1.70233E+06
-14 ; 1.72528E+06
-11 ; 1.74757E+06
-8 ; 1.76859E+06
-5 ; 1.79238E+06
-2 ; 1.81641E+06
1 ; 1.83967E+06
4 ; 1.86172E+06
7 ; 1.88657E+06
10 ; 1.91015E+06
13 ; 1.93403E+06
16 ; 1.95873E+06
19 ; 1.9834E+06
22 ; 2.00767E+06
25 ; 2.03222E+06
28 ; 2.05549E+06
31 ; 2.08204E+06
34 ; 2.10533E+06
37 ; 2.13068E+06
40 ; 2.15578E+06
43 ; 2.18216E+06
46 ; 2.20605E+06
49 ; 2.2313E+06
52 ; 2.25652E+06
55 ; 2.28355E+06
58 ; 2.30845E+06
61 ; 2.33462E+06
64 ; 2.36055E+06
67 ; 2.38597E+06
70 ; 2.41184E+06
73 ; 2.4385E+06
76 ; 2.46466E+06
79 ; 2.48811E+06
82 ; 2.51618E+06
85 ; 2.54179E+06
88 ; 2.56621E+06
91 ; 2.59097E+06
94 ; 2.61728E+06
97 ; 2.641E+06
100 ; 2.66627E+06
103 ; 2.6927E+06
106 ; 2.71629E+06
109 ; 2.74133E+06
112 ; 2.76517E+06
115 ; 2.78974E+06
118 ; 2.81364E+06
