Temp ; Freq ; Vref ; Iavg
-40 ; 1.05333E+06 ; 0.0279064 ; 4.32682E-06
-25 ; 1.14975E+06 ; 0.567706 ; 9.12006E-06
-10 ; 1.2838E+06 ; 0.896302 ; 1.26984E-05
5 ; 1.46226E+06 ; 1.10628 ; 1.57072E-05
20 ; 1.68033E+06 ; 1.2148 ; 1.79444E-05
35 ; 1.92942E+06 ; 1.2153 ; 1.94599E-05
50 ; 2.20115E+06 ; 1.21529 ; 2.10758E-05
65 ; 2.4844E+06 ; 1.21542 ; 2.27369E-05
80 ; 2.78181E+06 ; 1.21506 ; 2.44384E-05
95 ; 3.08125E+06 ; 1.21381 ; 2.61693E-05
110 ; 3.3836E+06 ; 1.21183 ; 2.78749E-05
125 ; 3.68416E+06 ; 1.20921 ; 2.95055E-05
