Temp ; Freq ; Vref ; Iavg
-40 ; 3.9987E+06 ; 1.23362 ; 3.53627E-05
-25 ; 4.52911E+06 ; 1.23606 ; 3.91805E-05
-10 ; 4.92348E+06 ; 1.23831 ; 4.31101E-05
5 ; 5.4414E+06 ; 1.24039 ; 4.70989E-05
20 ; 5.96663E+06 ; 1.24214 ; 5.11528E-05
35 ; 6.52169E+06 ; 1.24375 ; 5.52991E-05
50 ; 7.05376E+06 ; 1.24515 ; 5.94128E-05
65 ; 7.697E+06 ; 1.24645 ; 6.36268E-05
80 ; 8.09977E+06 ; 1.24717 ; 6.75653E-05
95 ; 8.71874E+06 ; 1.24734 ; 7.16678E-05
110 ; 9.38305E+06 ; 1.24666 ; 7.57378E-05
125 ; 1.0131E+07 ; 1.2451 ; 7.97918E-05
