Temp ; Freq ; Vref ; Iavg
-40 ; 4.22925E+06 ; 1.2338 ; 2.99993E-05
-25 ; 4.81586E+06 ; 1.23697 ; 3.40586E-05
-10 ; 5.67002E+06 ; 1.24006 ; 3.84048E-05
5 ; 6.81128E+06 ; 1.24302 ; 4.30528E-05
20 ; 8.11524E+06 ; 1.24605 ; 4.79101E-05
35 ; 9.26296E+06 ; 1.24928 ; 5.29826E-05
50 ; 1.04804E+07 ; 1.2526 ; 5.81405E-05
65 ; 1.18779E+07 ; 1.25555 ; 6.32685E-05
80 ; 1.32993E+07 ; 1.25779 ; 6.82712E-05
95 ; 1.47582E+07 ; 1.25907 ; 7.28008E-05
110 ; 1.59857E+07 ; 1.25923 ; 7.7482E-05
125 ; 1.6884E+07 ; 1.25813 ; 8.19969E-05
