Temp ; Freq ; Vref ; Iavg
-40 ; 2.53569E+06 ; 1.23075 ; 2.33456E-05
-25 ; 2.86437E+06 ; 1.23176 ; 2.89543E-05
-10 ; 3.14935E+06 ; 1.23241 ; 3.27507E-05
5 ; 3.46722E+06 ; 1.23374 ;  3.55398E-05
20 ; 3.75905E+06 ; 1.23572 ; 3.82065E-05
35 ; 4.00371E+06 ; 1.23689 ; 4.06364E-05
50 ; 4.32378E+06 ; 1.23731 ; 4.30377E-05
65 ; 4.63726E+06 ; 1.2374 ; 4.53602E-05
80 ; 4.89598E+06 ; 1.23713 ; 4.76238E-05
95 ; 5.174E+06 ;  1.23634 ; 4.98912E-05
110 ; 5.44926E+06 ; 1.23491 ; 5.19844E-05
125 ; 5.65571E+06 ; 1.23283 ;  5.41913E-05


