Temp ; Freq ; Vref ; Iavg
-40 ; 3.40218E+06 ; 1.23017 ; 2.53415E-05
-25 ; 4.29489E+06 ; 1.2333 ; 2.91724E-05
-10 ; 5.35865E+06 ; 1.23607 ; 3.34237E-05
5 ; 6.613E+06 ; 1.23828 ; 3.80482E-05
20 ; 7.93634E+06 ; 1.24029 ; 4.30083E-05
35 ; 9.36332E+06 ; 1.242 ; 4.83248E-05
50 ; 1.08261E+07 ; 1.24334 ; 5.38029E-05
65 ; 1.25186E+07 ; 1.24399 ; 5.92274E-05
80 ; 1.39217E+07 ; 1.2438 ; 6.43601E-05
95 ; 1.53578E+07 ; 1.24269 ; 6.91081E-05
110 ; 1.66433E+07 ; 1.24067 ; 7.35031E-05
125 ; 1.77512E+07 ; 1.23786 ; 7.75967E-05
