Temp ; Freq ; Vref ; Iavg
-40 ; 3.95431E+06 ; 1.21094 ; 1.6154E-05
-25 ; 5.47401E+06 ; 1.21236 ; 1.79673E-05
-10 ; 7.14135E+06 ; 1.21383 ; 2.02524E-05
5 ; 8.94865E+06 ; 1.21513 ; 2.29681E-05
20 ; 1.07979E+07 ; 1.21617 ; 2.60302E-05
35 ; 1.26086E+07 ; 1.2168 ; 2.93494E-05
50 ; 1.44381E+07 ; 1.21708 ; 3.28758E-05
65 ; 1.62129E+07 ; 1.21695 ; 3.65347E-05
80 ; 1.78376E+07 ; 1.21644 ; 4.02739E-05
95 ; 1.95328E+07 ; 1.21552 ; 4.40678E-05
110 ; 2.08951E+07 ; 1.21413 ; 4.78605E-05
125 ; 2.23937E+07 ; 1.21217 ; 5.15759E-05
