Temp ; Freq ; Vref ; Iavg
-40 ; 1.27138E+06 ; 1.21883 ; 1.63119E-05
-25 ; 1.46831E+06 ; 1.22141 ; 1.80233E-05
-10 ; 1.69461E+06 ; 1.22341 ; 1.99151E-05
5 ; 1.94806E+06 ; 1.22505 ; 2.19051E-05
20 ; 2.2278E+06 ; 1.22644 ; 2.39559E-05
35 ; 2.4875E+06 ; 1.22753 ; 2.60537E-05
50 ; 2.75119E+06 ; 1.22785 ; 2.81727E-05
65 ; 3.06199E+06 ; 1.22784 ; 3.0293E-05
80 ; 3.32004E+06 ; 1.22742 ; 3.23365E-05
95 ; 3.6062E+06 ; 1.22601 ; 3.43037E-05
110 ; 3.90018E+06 ; 1.22369 ; 3.61823E-05
125 ; 4.09956E+06 ; 1.22084 ; 3.79934E-05
