Temp ; Freq ; Vref ; Iavg
-40 ; 1.17734E+06 ; 0.104863 ; 5.10823E-06
-25 ; 1.34394E+06 ; 0.637824 ; 1.07071E-05
-10 ; 1.55485E+06 ; 0.958732 ; 1.49842E-05
5 ; 1.78137E+06 ; 1.1605 ; 1.87182E-05
20 ; 2.11174E+06 ; 1.22538 ; 2.11982E-05
35 ; 2.44269E+06 ; 1.22651 ; 2.32951E-05
50 ; 2.80271E+06 ; 1.22747 ; 2.54646E-05
65 ; 3.16657E+06 ; 1.22768 ; 2.7697E-05
80 ; 3.55102E+06 ; 1.22688 ; 2.98265E-05
95 ; 3.93407E+06 ; 1.22546 ; 3.18237E-05
110 ; 4.31674E+06 ; 1.22274 ; 3.36667E-05
125 ; 4.70322E+06 ; 1.21929 ; 3.54433E-05
