Temp ; Freq ; Vref ; Iavg
-40 ; 1.882E+06 ; 1.2207 ; 1.94704E-05
-25 ; 2.19313E+06 ; 1.22293 ; 2.16837E-05
-10 ; 2.53957E+06 ; 1.22492 ; 2.40383E-05
5 ; 2.88173E+06 ; 1.2266 ; 2.64924E-05
20 ; 3.25876E+06 ; 1.22796 ; 2.90282E-05
35 ; 3.64404E+06 ; 1.22884 ; 3.16273E-05
50 ; 4.01108E+06 ; 1.22924 ; 3.43026E-05
65 ; 4.39817E+06 ; 1.22937 ; 3.69642E-05
80 ; 4.78218E+06 ; 1.22868 ; 3.96566E-05
95 ; 5.16634E+06 ; 1.22743 ; 4.22045E-05
110 ; 5.523E+06 ; 1.22542 ; 4.46599E-05
125 ; 5.89683E+06 ; 1.22239 ; 4.70847E-05
