,vref_avg,iptat_typ,v_tail_typ,name,type,time,OK
0,1.238644,1.114956,0.1129217,tran_SchGtKfsTlVh,Sch,Sun Feb  8 17:17:53 2026,True
1,1.223589,1.087987,0.1747647,tran_SchGtKsfTlVh,Sch,Sun Feb  8 17:17:44 2026,True
2,1.237858,1.267596,0.1681074,tran_SchGtKffTlVh,Sch,Sun Feb  8 17:17:34 2026,True
3,1.222309,0.9657602,0.1178163,tran_SchGtKssTlVh,Sch,Sun Feb  8 17:17:22 2026,True
4,1.238644,1.114956,0.1129217,tran_SchGtKfsThVh,Sch,Sun Feb  8 17:17:12 2026,True
5,1.223589,1.087987,0.1747647,tran_SchGtKsfThVh,Sch,Sun Feb  8 17:17:03 2026,True
6,1.237858,1.267596,0.1681074,tran_SchGtKffThVh,Sch,Sun Feb  8 17:16:51 2026,True
7,1.222309,0.9657602,0.1178163,tran_SchGtKssThVh,Sch,Sun Feb  8 17:16:42 2026,True
8,1.238644,1.114956,0.1129217,tran_SchGtKfsTlVl,Sch,Sun Feb  8 17:16:32 2026,True
9,1.223589,1.087987,0.1747647,tran_SchGtKsfTlVl,Sch,Sun Feb  8 17:16:20 2026,True
10,1.237858,1.267596,0.1681074,tran_SchGtKffTlVl,Sch,Sun Feb  8 17:16:10 2026,True
11,1.222309,0.9657602,0.1178163,tran_SchGtKssTlVl,Sch,Sun Feb  8 17:16:01 2026,True
12,1.238644,1.114956,0.1129217,tran_SchGtKfsThVl,Sch,Sun Feb  8 17:15:51 2026,True
13,1.223589,1.087987,0.1747647,tran_SchGtKsfThVl,Sch,Sun Feb  8 17:15:39 2026,True
14,1.237858,1.267596,0.1681074,tran_SchGtKffThVl,Sch,Sun Feb  8 17:15:29 2026,True
15,1.222309,0.9657602,0.1178163,tran_SchGtKssThVl,Sch,Sun Feb  8 17:15:20 2026,True
