,vref_avg,iptat_typ,v_tail_typ,name,type,time,OK
0,1.183849,1.011396,0.1378892,tran_SchGtKttmmTtVt_29,Sch,Sun Feb  8 17:22:56 2026,True
1,1.19819,1.038761,0.1424116,tran_SchGtKttmmTtVt_28,Sch,Sun Feb  8 17:22:46 2026,True
2,1.164506,0.9820148,0.1489799,tran_SchGtKttmmTtVt_27,Sch,Sun Feb  8 17:22:34 2026,True
3,1.450889,1.520503,0.1492929,tran_SchGtKttmmTtVt_26,Sch,Sun Feb  8 17:22:25 2026,True
4,1.011457,0.6957975,0.1339134,tran_SchGtKttmmTtVt_25,Sch,Sun Feb  8 17:22:15 2026,True
5,1.112179,0.882961,0.1439953,tran_SchGtKttmmTtVt_24,Sch,Sun Feb  8 17:22:03 2026,True
6,1.385588,1.404329,0.1516088,tran_SchGtKttmmTtVt_23,Sch,Sun Feb  8 17:21:54 2026,True
7,1.321175,1.2742250000000002,0.1456525,tran_SchGtKttmmTtVt_22,Sch,Sun Feb  8 17:21:45 2026,True
8,1.259277,1.149001,0.1372925,tran_SchGtKttmmTtVt_21,Sch,Sun Feb  8 17:21:35 2026,True
9,1.20659,1.056201,0.1340069,tran_SchGtKttmmTtVt_20,Sch,Sun Feb  8 17:21:24 2026,True
10,1.123069,0.9075572,0.1334317,tran_SchGtKttmmTtVt_19,Sch,Sun Feb  8 17:21:14 2026,True
11,1.371922,1.3720059999999998,0.1477625,tran_SchGtKttmmTtVt_18,Sch,Sun Feb  8 17:21:05 2026,True
12,1.041978,0.7581502,0.1385309,tran_SchGtKttmmTtVt_17,Sch,Sun Feb  8 17:20:53 2026,True
13,1.29174,1.217861,0.1438425,tran_SchGtKttmmTtVt_16,Sch,Sun Feb  8 17:20:44 2026,True
14,1.143548,0.9396848,0.1514369,tran_SchGtKttmmTtVt_15,Sch,Sun Feb  8 17:20:35 2026,True
15,1.167173,0.9850819000000001,0.1380024,tran_SchGtKttmmTtVt_14,Sch,Sun Feb  8 17:20:25 2026,True
16,1.415635,1.459036,0.148072,tran_SchGtKttmmTtVt_13,Sch,Sun Feb  8 17:20:14 2026,True
17,1.41511,1.4574429999999998,0.1479291,tran_SchGtKttmmTtVt_12,Sch,Sun Feb  8 17:20:05 2026,True
18,1.176117,1.0029819999999998,0.1323027,tran_SchGtKttmmTtVt_11,Sch,Sun Feb  8 17:19:55 2026,True
19,1.172463,0.9930963999999999,0.140875,tran_SchGtKttmmTtVt_10,Sch,Sun Feb  8 17:19:44 2026,True
20,1.106949,0.8741337,0.1235726,tran_SchGtKttmmTtVt_9,Sch,Sun Feb  8 17:19:35 2026,True
21,1.238755,1.118414,0.1386571,tran_SchGtKttmmTtVt_8,Sch,Sun Feb  8 17:19:26 2026,True
22,1.210658,1.061493,0.128648,tran_SchGtKttmmTtVt_7,Sch,Sun Feb  8 17:19:16 2026,True
23,1.276571,1.184147,0.1405286,tran_SchGtKttmmTtVt_6,Sch,Sun Feb  8 17:19:05 2026,True
24,1.237173,1.1083409999999998,0.1338999,tran_SchGtKttmmTtVt_5,Sch,Sun Feb  8 17:18:56 2026,True
25,1.202798,1.052327,0.1381934,tran_SchGtKttmmTtVt_4,Sch,Sun Feb  8 17:18:46 2026,True
26,1.297794,1.223822,0.1445699,tran_SchGtKttmmTtVt_3,Sch,Sun Feb  8 17:18:34 2026,True
27,1.13167,0.9163096999999999,0.1264514,tran_SchGtKttmmTtVt_2,Sch,Sun Feb  8 17:18:25 2026,True
28,1.220495,1.0837990000000002,0.1463631,tran_SchGtKttmmTtVt_1,Sch,Sun Feb  8 17:18:16 2026,True
29,1.131074,0.9157116000000001,0.1431505,tran_SchGtKttmmTtVt,Sch,Sun Feb  8 17:18:04 2026,True
